,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0,0,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
1,0,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
2,0,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
3,0,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
4,0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
5,0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
6,0,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9
7,0,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6
8,0,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6
9,0,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6
10,0,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
11,0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
12,0,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7
13,0,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
14,0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
15,0,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,10
16,0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
17,0,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8
18,0,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
19,0,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
20,0,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
21,0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
22,0,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
23,0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
24,0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
25,0,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7
26,0,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
27,0,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
28,0,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
29,0,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
30,0,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
31,0,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12
32,0,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
33,0,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
34,0,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
35,0,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
36,0,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
37,0,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
38,0,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
39,0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
40,0,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
41,0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
42,0,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8
43,0,0.4,0.305,0.16,0.368,0.173,0.0705,0.105,7
44,0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
45,0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
46,0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
47,0,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
48,0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
49,0,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
50,0,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
51,0,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
52,0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
53,0,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10
54,0,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
